id,dialogue
13728094,"Sam: hey  overheard rick say something
Sam: i don't know what to do :-/
Naomi: what did he say??
Sam: he was talking on the phone with someone
Sam: i don't know who
Sam: and he was telling them that he wasn't very happy here
Naomi: damn!!!
Sam: he was saying he doesn't like being my roommate
Naomi: wow, how do you feel about it?
Sam: i thought i was a good rommate
Sam: and that we have a nice place
Naomi: that's true man!!!
Naomi: i used to love living with you before i moved in with me boyfriend
Naomi: i don't know why he's saying that
Sam: what should i do???
Naomi: honestly if it's bothering you that much you should talk to him
Naomi: see what's going on
Sam: i don't want to get in any kind of confrontation though
Sam: maybe i'll just let it go
Sam: and see how it goes in the future
Naomi: it's your choice sam
Naomi: if i were you i would just talk to him and clear the air"
13611672,"John: Ave. Was there any homework for tomorrow?
Cassandra: hello :D Of course, as always :D
John: What exactly?
Cassandra: I'm not sure so I'll check it for you in 20minutes. 
John: Cool, thanks. Sorry I couldn't be there, but I was busy as fuck...my stupid boss as always was trying to piss me off
Cassandra: No problem, what did he do this time?
John: Nothing special, just the same as always, treating us like children, commanding to do this and that...
Cassandra: sorry to hear that. but why don't you just go to your chief and tell him everything?
John: I would, but I don't have any support from others, they are like goddamn pupets and pretend that everything's fine...I'm not gonna fix everything for everyone
Cassandra: I understand...Nevertheless, just try to ignore him. I know it might sound ridiculous as fuck, but sometimes there's nothing more you can do.
John: yeah I know...maybe some beer this week?
Cassandra: Sure, but I got some time after classes only...this week is gonna be busy
John: no problem, I can drive you home and we can go to some bar or whatever.
Cassandra: cool. ok, I got this homework. it's page 15 ex. 2 and 3, I also asked the others to study another chapter, especially the vocabulary from the very first pages. Just read it.
John: gosh...I don't know if I'm smart enough to do it :'D
Cassandra: you are, don't worry :P Just circle all the words you don't know and we'll continue on Monday.
John: ok...then I'll try my best :D
Cassandra: sure, if you will have any questions just either text or call me and I'll help you.
John: I hope I won't have to waste your time xD
Cassandra: you're not wasting my time, I'm your teacher, I'm here to help. This is what I get money for, also :P
John: just kidding :D ok, so i guess we'll stay in touch then
Cassandra: sure, have a nice evening :D
John: you too, se ya
Cassandra: Byeeeee"
13809912,"Matt: Do you want to go for date?
Agnes: Wow! You caught me out with this question Matt.
Matt: Why?
Agnes: I simply didn't expect this from you.
Matt: Well, expect the unexpected.
Agnes: Can I think about it?
Matt: What is there to think about?
Agnes: Well, I don't really know you.
Matt: This is the perfect time to get to know eachother
Agnes: Well that's true.
Matt: So let's go to the Georgian restaurant in Kazimierz.
Agnes: Now your convincing me.
Matt: Cool, saturday at 6pm?
Agnes: That's fine.
Matt: I can pick you up on the way to the restaurant.
Agnes: That's really kind of you.
Matt: No problem.
Agnes: See you on saturday.
Matt: Yes, looking forward to it.
Agnes: Me too."
13828741,"Aria: You won't believe who I've just met!
Aria: Charlie Evans!
Maverick: Oh God, I haven't seen him from ages!
Maverick: How is he doing?
Aria: He's doing great. :)
Aria: He got married, he runs a small family business, which he is very passionate about and generally he seems to be a happy and fulfilled man. :)
Aria: Oh, and he has two absolutely adorable daughters. :)
Aria: It was so nice to meet him, he's such a sweet soul.
Maverick: I’m glad to hear that. :)
Maverick: Time flies so fast, doesn't it?
Aria: It does. :) Recently I’ve met Cooper Roy, I'm sure you remember him, I constantly talked about him back then in high school, because I had a huge crush on him. He’s changed a lot!
Aria: I barely recognized him!
Maverick: I remember, how you and Kylie used to gossip about him all the time. :)
Aria: Well, we were madly in love with him.
Aria: Or at least we thought so. ;)
Maverick: I sometimes miss those times.
Maverick: Everything seemed to be easier, better and calmer back then.
Aria: The world wasn’t as crazy as it is now.
Aria: I feel like politics got crazier, people - more radical and hostile and economics - less predictable...
Maverick: Me too...:("
13828591,"Victor: do you want to go to the museum tonight?
Victor: there's a great exhibition about cubism going on
Charles: you know i hate museums! lol
Charles: i'd rather watch paint dry hahaha
Victor: i know you hate museums...
Victor: BUT tonight special
Charles: why?
Victor: because tonight is opening night!!! :-D
Charles: what makes it different?
Victor: there's food, music, VIPs, everyone dresses up, it's just fun
Victor: it's upscale fun :-D
Victor: come on! be my plus 1!!!
Charles: i guess if you're asking me that means tons of people have said no
Charles: i'm sure i'm not at the top of your list lol
Charles: am i right? lol
Victor: hahaha you're right... 
Victor: but the only reason you were not at the top of my list is becase i know it's not your thing
Victor: i promise you it'll be fun
Victor: and if you don't like it we'll go to a sports bar afterwards and i'll treat you to all the beer you want
Charles: hahaha, ok, that sweetens the pot
Charles: i'll go with you"
13682313,"Juliette: So what? Tell me
Jimmy: One minute
Juliette: What did the doctor say? 
Jimmy: It's almost finished, wait a second
Juliette: Is it so serious? Should I be afraid?
Jimmy: OK, just finished
Juliette: So, tell me, I can't wait longer
Jimmy: Acute gastritis
Juliette: What's that?
Jimmy: Acid attacks in the stomach
Juliette: It's not a cancer?
Jimmy: No, it's not
Juliette: Is this sure?
Jimmy: Yes, darling
Juliette: You're not lying to me ?
Jimmy: No, darling, please believe me
Juliette: And how can we cure this?
Jimmy: Just a few tablets for a month and that should be enough
Juliette: I'm so glad it's not a cancer
Jimmy: :000
Juliette: I love you
Jimmy: Me too"
13728383,"Francesca: It's 3 a.m. You're not asleep yet
Jacob: What a stalker ;-)
Francesca: :D 
Francesca: I cannot sleep
Jacob: Me neither
Francesca: Why?
Jacob: I just can't. Thinking about stuff
Francesca: Me too
Francesca: Sometimes I wish I didn't think that much
Jacob: What were you thinking about?
Francesca: My mum, school, you...
Jacob: Me?
Francesca: I seen you've been sad recently 
Jacob: Maybe you're right
Jacob: What about your mum?
Francesca: I cannot understand
Francesca: Why did she do it??
Francesca: Why would anyone want to kill themselves?
Jacob: I could understand...
Francesca: Are you serious? Do you have these thoughts?
Jacob: Sometimes
Francesca: Please don't... I beg you, don't do it..."
13729983,"Chloe: Hey, you told me about this cream that you find really good
Julie: Ehhm yea, GlamRock
Chloe: Where did you buy it?
Julie: Online, there’s a shop called a GlamShop
Chloe: Cool, thanks
Julie: You said you’re broke now and not going to buy anything
Chloe: I got money earlier than expected ^^
Julie: Oh I get it. So will you give me back the money I borrowed you?
Chloe: Ah ofc, sending it right away
Julie: Thanks, will help me a lot :)
Chloe: Sth wrong? O.o
Julie: Noo haha but me and Jake, we want to get a dog and there’s going to be a lot of costs, vet, vaccination, trying different types of food etc
Chloe: A dog, cool, which breed?
Julie: We just want to take some poor animal from the shelter, so it’s whatever. We want it to be big ;p
Chloe: That’s so sweet of you! Yea you have a big house, you can have a big dog ^^
Julie: Many kids would fit in as well, but my husband’s not interested -_-
Chloe: Seriously O>O
Julie: He keeps saying that we need to wait until we pay more of our debts and that sort og stuff
Chloe: Well, you never complain about money, youhave a big house, looks like you can afford kids!
Julie: I thinks so too, but he doesn’t agree ;/
Chloe: Just stop taking pills, he’ll have no choice ;)
Julie: That would be cruel xD"
13680485,"Blake: Why did you tell Steven all those stupid things?
Alexis: What things?
Blake: That I did not want him. It's just not true and you know it.
Alexis: I remember things differently, sorry.
Blake: You're his mother, I cannot cut you from him, but I really believe you have a terrible influence on him.
Alexis: I would rather say it about you.
Blake: Please, stop. I've taken so much care of him in the last years and I always avoid talking with him about you.
Alexis: Why should you avoid the topic? Is it better to pretend I do not exist?
Blake: Nobody pretends that, but I don't want to drag him into our games. Your games, actually.
Alexis: I don't know why I am still talking to you. You keep insulting and accusing me.
Blake: I'm just trying to stop you from destroying our son's life.
Alexis: I am his mother, I know what's good for him.
Blake: No, you're using him for your stupid games against me.
Alexis: You're really unbelievably self-centred.
Blake: Alexis, it's not possible to talk to you any more. You're either aggressive or defensive. There is no discussion.
Alexis: Try not to attack me first. This is a natural reaction to an attack of every human being, of every living creature actually. 
Blake: I tried to discuss how we are managing our relations with our son. Was it an attack?
Alexis: No, you attacked me saying I told something to Steven that you apparently didn't like. But you will nor censor me. This time is over.
Blake: For God's sake! 
Alexis: I've had enough. I am coming back to my work now. There is more in this world than your huge ego. Bye!"
13731314-1,"Johny: That girl on Tuesday music video is sexy as fuck
Luke: <file_video>
Luke: This Tuesday?
Johny: The main chick is worth breaking the rule of no-nut november
Luke: Johny please find yourself a chick.
Luke: fall for her
Luke: Love her with all your heart
Luke: And stop talking like an asshole
Johny: Man, it's just a joke
Johny: I have respect towards women
Johny: At least when they deserve it :D
Luke: Everyone deserces some respect bruh
Johny: I know man, I'm just kidding LOL
Luke: I know man, I'm just messing
Johny: You feel like clubbing tonight?
Johny: You could be my wingman xD
Luke: <file_gif>
Johny: What's with this facepalm?
Luke: Get yourself Tinder and start hunting
Johny: Hahaha. xD
Johny: I undestand you don't wanna go? 
Luke:  I've got plans for tonight
Luke: So another time mate
Johny: Chill. Another time"
