id,dialogue,summary
13682362-1,"Sam: guess what?! I went on a date last night! :)
Tina: no way! You said nothing when we met yesterday!  
Sam: you know i didn’t know what to expect..
Tina: so how did you meet?
Sam: i met him through that dating app..
Tina: so it was sort of a blind date?! good for you! Tell me more!
Sam: i came a bit earlier just to check him out you know 
Tina: ha ha! You’re funny!
Sam: i mean i saw his picture but you know what it’s like
Tina: yeah, you see a picture on the internet and it’s totally different in real life
Sam: yeah. so i didn’t see him but i saw a nice guy waiting and thought i’d like that one! Then he turns to me and says Are you Sam?
Tina: so you just didn’t recognise him?!!
Sam: i didn’t! Can you believe it?! 
Tina: so what did you say?
Sam: i sort of panicked! Almost said i’m not!!!
Tina: ha ha! But i hope you finally introduced yourself!
Sam: i did! But that wasn’t a good start
Tina: why not? I think it was very romantic! Love at first sight ;)
Sam: yeah, sure ha ha!
Tina: so what did you guys do?
Sam: we had a lovely dinner and then went for a walk. We had a great time.
Tina: i’m so happy for you!
Sam: i’ll tell you something but please don’t laugh at me!
Tina: promise!
Sam: i think he’s the one! 
Tina: oh no! I’ve heard this before!
Sam: i know but it’s totally different this time. It was like everything froze! I know he’s the one!
Tina: Let me know when you start planning your wedding! Ha ha! ;) ","Sam went on a blind date, with a guy she met on a dating app. They had dinner and went for a walk. "
13819891,"Linda: you remember Mariusz, my English student when I was living in Kabaty?
Linda: I've just read on fb he died...
Linda: Im so shocked, cant believe it!
Hanna: of course I remember him.
Hanna: hard to believe. How old was he? 50?
Linda: I guess more than 50, maybe 55
Linda: when I taught him, he alredy had adult children
Rod: OMG
Rod: shocking news
LInda: Yep... Life is so short
Rod: And do you know what happened?
Rod: was he ill or did he have an accident?
Linda: no idea
Linda: his wife posted on fb about this
Hanna: :(
Linda: I wrote to her to ask about time and place of funeral
Linda: but she hasnt replied yet, I imagine shes busy
Rod: definitely :(
Linda: you know, I havent seen him long, but I somehow... cant get over it
Linda: Strange feeling
Hanna: Yeah, I imagine
Rod: Take care, Lin!
Linda: Thanks",Linda found out that her ex student had passed away and is interested in going to his funeral. 
13828522,"Corin: Did you hear about the outing tonight?
Ersin: No. I was on sick leave for a few days.
Corin: I've noticed, that's why I'm asking :)
Ersin: That's nice of you.
Ersin: So what is it about?
Corin: It's Rose's birthday and we are going to a pub to celebrate. 
Ersin: We? 
Corin: Everyone is coming, the whole team.
Corin: You must have got the email invite as well. 
Ersin: I see. That's nice.
Ersin: But I'm still not feeling very well.
Ersin: So i dont's know.
Corin: It's a good opportunity to integrate with the team...
Ersin: I know.
Ersin: What time do you meet?
Corin: We are going straight after work. You're party of the team now:)
Ersin: Yes. I didn't mean to separate myself or anything. I just need some time to get used to the situation.
Corin: I understand. You don't have to stay long at the pub. 
Ersin: Okey, I'll come. And if I don't feel well, I'll go home. 
Corin: Fantastic! 
Ersin: I hope it'll be! ;) ",Ersin has been sick and hasn't heard about Rose's birthday party after work tonight. The entire team is coming so Corin insists that he be there too. Ersin might leave early if he's unwell.
13810987,"Cam: Any plans for Monday?
Sam: Yes. I'm busy.
Cam: Now or Monday?
Sam: Both.
Cam: When are you free then?
Sam: I'd have to check my diary but I'm fairly sure I'm busy next week.
Cam: What about the week after?
Sam: I will check but the diary is pretty full at the moment.
Cam: It would be nice to catch up one day.
Cam: Do you know when you're not busy?
Sam: No. But if I have some free time I will let you know.
Cam: That doesn't sound very promising. LOL
Sam: I know it doesn't and I'm sorry.
Cam: It's been ages since we last caught up.
Sam: It's also been a dead busy time for me hence I haven't been social at all.
Cam: So, it's not just me that you don't have the time for? LOL
Sam: No, not just you. 
Sam: I haven't had the time to catch up on any of my chores let alone catch up with friends.
Cam: No probs. I'll check back with you in a couple of days and see if you have any spare time.
Sam: OK",Cam wants to catch up with Sam. Sam is very busy now and next week too. She will let Cam know if she has some spare time to meet. 
13681991,"Emma: Hi!
Kate: Hello! Long time
Emma: Too long
Kate: Do you remember the cake with forest fruit and jelly on top? The one you served the last time we met?
Emma: I do.
Kate: I'd like to bake it myself but I have never made the bottom myself. 
Emma: You've been buying the bottoms for your cakes?
Kate: Yeah... 
Emma: Oh, you should have asked for help. I would have taught you. It's not that difficult as it may seem. And it's much much better!
Kate: Thank you. That's so kind of you! But now I must do with a quick course online :-) Jim decided to invite his sister for the weekened. And she's crazy about sweetmeats. I'd like to prepare something really good. And I'm sick of all those fluffly cakes you buy in shops.
Emma: Good choice. The cake is fantastic
Kate: I know. I ate it at your party :-) Out of this world :-)
Emma: Thanks :-) I'll send you the recipe. It's not mine. I had found it online. Follow the instructions and you can't mess it up.
Kate: Easy for you to say
Emma: <file_photo>
Kate: Thanks!
Emma: And next time we see each other you are the one baking :-) I'll give you some tips and then we'll enjoy the results. 
Kate: And then we'll need a gym membership ;-p
Emma: No! Then we'll find some sugar-free, fat-free, gluten-free, whatever-free recipes and will keep on eating fitness cakes :-)
Emma: <file_video>
Kate: Love that :-) Thanks
Emma: Let me know after the weekend. Good luck!","For the visit of Jim's sister this weekend, Kate wants to bake the cake she ate at Emma's. Next time Emma is going to teach Kate how to make cake bottoms."
13821123,"Minnie: I found a flight from Cardiff to Lanzarote on Thursday 2nd of Feb, coming abck on Thursday 9th for £111 each. Is that ok?
Max: oh brilliant yeah that sounds good! 
Minnie: shall I book it?
Max: lets wait for Luke to confirm, he had to take time off work yet
Luke: I'm good, even got the second friday off. Got my boss on a good day!  
Minnie: Thats good cause the flight back doesn't come into Cardiff till 23.40! Are you ok with me booking?
Luke: go for it, good find! 
Max: I have been looking into hotels, they are all pretty much the same price, but cheaper away from the beach. What would we prefer? Close to the beach and pay a bit more or further inland?
Minnie: how much is the difference in total?
Max: about £200pp
Minnie: thats worth moving inland for I think, what about you guys?
Luke: fine by me
Max: yeah sure, £200 at the bar is quite a lot 
Luke: thats exaclty what i was thinking! 😂🍻
Max: shall I book any hotel with bar and pool inland then?
Luke: yeah cool
Minnie: it might be worth also considering the distance to the airport, we will probably need to taxi it as the flight comes in at 22.45
Max: Good point, I'll have a look
Minnie: and I wouldn't mind a spa
Max: noted
Luke: there goes the £200! 
Minnie: 😄","Minnie, Max and Luke are going from Cardiff to Lanzarote on the 2nd of February and coming back on the 9th. The flights are £111 each. Minnie is doing the booking. They'll stay in an inland hotel with a pool and a bar because it's about £200 cheaper than by the beach."
13680567,"Cody: hey sweetie, it's Friday
Martha: nd …
Cody: come on, we need to get out smwhere
Martha: shite. I'm dead
Cody: u need 2 unwind
Martha: book & glass of wine?
Cody: wot, ru 60 or sth
Martha: dunno. sometimes feels like it
Cody: how bout movie and l8r we see if u wanna go
Martha: sounds good
Cody: u finish work @?
Martha: 5.30. or later
Cody: so 7 ur place will be good
Martha: hope so. 
Cody: anything u wanna watch?
Martha: no marvels this time pls
Cody: I know sry 4 that
Martha: or perhaps we'll just go out after all
Cody: yay!
Martha: you only live one right. gotta go now
Cody: keep it pimpin",Cody will come over to Martha's at 7 and they will watch a film then possibly go out. Martha refuses to watch a Marvel film this time.
13814774,"Hugh: You ready for tomorrow?? :D
Ellie: Think so... I keep thinking I forgot to pack something :(
Hugh: Got your torch, batteries, sleeping bag, tent?
Ellie: Check, check and check ;)
Hugh: fuzzy socks, marshmellows, a pillow?
Ellie: I can't find a my pillow :( 
Hugh: I can bring you a spare ;)
Ellie: :D
Ellie: ooh - I found my waterproof mascara behind the closet. I wondered where that wnet :D
Hugh: Doubt you'll be needing it on a campingtrip dear ;)
Ellie: yes honeybun :P
Ellie: I made some sandwhiches for the road :)
Hugh: good idea - I'm bringing tomato soup in my thermos :)
Ellie: Your mother's recipe?? O.O
Hugh: you bet ;) I might be willing to share ;)
Ellie: oh yeah? :D
Hugh: for a price ;)
Ellie: looks I'm at your mercy :P what's my payment to be? ;)
Hugh: A kiss. Or two. And remember I'm counting interest.
Ellie: I think that can be arranged ;)
Hugh: :D
Ellie: I can't tell you how greatful I am for this
Ellie: *gratefull
Hugh: You deserve this - you had a hard week. I'm just here to make you relax ;)
Ellie: :)","Ellie and Hugh are going on a camping trip. Hugh can't find his pillow, but Ellie will bring a spare one. They are taking sandwiches and tomato soup for the road."
13815231,"Jennifer: I will have to give a presentation on global warming on Friday, and I am so nervous.
Mary: There are a lot of things you can do to make you feel more confident and less nervous.
Jennifer: What should I do, Mary?
Mary: First of all, you need to understand the subject matter thoroughly. You need to know what is global warming, what causes global warming, and what people should do to abate the effects of global warming.
Jennifer: I have done a lot of research on the subject, and I know I can answer any questions I will receive from the audience.
Mary: The next thing that you need is an outline of your presentation. You should think about how to effectively present the subject matter.
Jennifer: You mean what I should talk about, or more precisely the sequence of my presentation?
Mary: Yes, what you should present first, second, third…
Jennifer: If that is the case, then I already have an outline. To make it easy for my audience to follow the presentation, I intend to post the outline on the board at all time during my speech.
Mary: Good idea! By the way, do you have any facts to back you up? For example, change of climate, yearly disasters…
Jennifer: No, I have not thought about that. I better get some statistics from the Internet. I should not have any problems since the Internet has all kinds of data.
Mary: Good. It is easier to convince people and to hold their attention with actual data. It would be even better if you show some pictures along the way. Do you have any?
Jennifer: No, it is another thing to add to my To Do list. I guess I will need at least two or three pictures to persuade people about the dangers of global warming.
Mary: Pictures will keep your audience from being bored. In order for you to succeed, you need to keep them interested and involved.
Jennifer: What else do I need? Is there anything else I can do to help me relax and be at ease during my presentation?
Mary: You need to practice your presentation. Just pretend that you are standing in front of your audience and start to give your speech.
Jennifer: Pretending is one thing; actually giving a speech is another thing.
Mary: Think positive. Tell yourself that you can do it without any problems.
Jennifer: I guess I can look at this as a presentation of my point of view to my friends.
Mary: If you are really prepared, it will be a piece of cake. You will be able to speak with ease and confidence, and you will be amazed by how well you can express yourself.
Jennifer: I need to do this presentation really well. This is my first presentation in front of a big audience, and it is so important to me.
Mary: This is only the beginning, Jennifer. Being able to express your ideas with confidence and clarity is one of the best skills to possess.
Jennifer: You are absolutely right. I will take time to practice and to learn to relax and express myself really well. Wish me luck, Mary!
Mary: I know you. You can do it. Good luck, Jennifer!",Mary instructs Jennifer on how to prepare a presentation on global warming. Jennifer will give the presentation on Friday. It'll be her first with such a vast audience.
13728220,"Julian: Remember we were talking about foxes the other day?
Julian: <file_video> <file_photo>
Hetty: Oh my word!! Is that in your garden?
Julian: <file_photo>
Julian: yeah it's by the shed! Mark could see them from the dining room.
Hetty: They don't look shy
Julian: no they are not, which is cool and worrying! 
Hetty: yeah of course. Do they attack humans?
Julian: Not really, they generallyare too scared. there have been reports of city foxes nibbling on little kids in cots though 😱 
Hetty: yuk! that's pretty scary!
Julian: Yeah I guess they are predators when given the opportunity!
Julian: <file_photo> this one is not as clear as I tried to zoom in
Julian: it's rare to see two together though, generally they roam on their own
Hetty: and not during the day?
Julian: that too. This was very early morning though
Hetty: so what are they doing in your garden? what do they eat?
Julian: peoples rubbish and rats I guess, birds, eggs maybe?
Julian: we see a lot of opened bin bags lying around on bin day. Makes a right mess!
Hetty: at least you don't have rats now! 
Julian: I know, and I definitely prefer the foxes. besides the mess and sometimes evry stinky poo they don't bother me. 
Hetty: they are quite beautiful aren't they
Julian: I think so!  pretty cool!
Julian: some people feed them in their garden to have them come back, but I don't think Tinkerbell would like that much! 
Hetty: I guess cats and foxes don't mix?
Julian: she's petrified! 
Hetty: better not then, poor thing!","Julian has two foxes in his garden. The foxes opened some bin bags and made a mess, but they do not bother Julian."
